,n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample,alpha,best_it
0,100,0.01,7,7,0.9,0.9,25,439
1,100,0.01,9,6,0.9,0.9,10,317
2,100,0.01,7,3,0.8,0.9,10,202
3,100,0.01,1,4,0.8,0.9,3,305
4,100,0.01,9,9,0.8,0.9,100,741
5,100,0.01,2,5,0.8,0.9,100,483
6,100,0.01,1,3,0.8,0.9,5,307
7,100,0.01,1,8,0.8,0.8,0,415
8,100,0.01,8,6,0.8,0.9,0,415
9,100,0.01,4,3,0.9,0.9,0,282
10,100,0.01,4,3,0.9,0.9,50,400
11,100,0.01,3,5,0.9,0.9,75,1316
12,100,0.01,5,7,0.8,0.9,100,527
13,100,0.01,2,3,0.8,0.9,10,217
14,100,0.01,1,4,0.9,0.9,75,418
15,100,0.01,7,7,0.9,0.9,5,305
16,100,0.01,6,4,0.8,0.9,10,488
17,100,0.01,2,5,0.9,0.9,25,632
18,100,0.01,6,6,0.9,0.9,75,671
19,100,0.01,2,8,0.8,0.9,10,693
20,100,0.01,9,6,0.8,0.9,100,786
21,100,0.01,5,5,0.8,0.9,3,471
22,100,0.01,8,3,0.9,0.9,10,556
23,100,0.01,7,7,0.8,0.9,100,851
24,100,0.01,3,6,0.8,0.9,100,634
25,100,0.01,6,4,0.8,0.9,50,351
26,100,0.01,5,3,0.9,0.9,100,401
27,100,0.01,3,4,0.9,0.9,100,300
28,100,0.01,7,6,0.8,0.9,3,599
29,100,0.01,1,6,0.8,0.9,100,580
30,100,0.01,9,6,0.8,0.9,10,307
31,100,0.01,1,3,0.9,0.9,0,638
32,100,0.01,1,3,0.9,0.9,100,669
33,100,0.01,1,3,0.8,0.8,75,625
34,100,0.01,1,3,0.8,0.9,25,682
35,100,0.01,1,3,0.9,0.9,75,833
36,100,0.01,1,3,0.8,0.8,100,395
37,100,0.01,2,9,0.8,0.8,7,724
38,100,0.01,9,3,0.8,0.8,10,461
39,100,0.01,3,4,0.8,0.9,10,289
40,100,0.01,8,5,0.9,0.9,5,415
41,100,0.01,9,6,0.9,0.9,1,236
42,100,0.01,7,5,0.8,0.9,3,485
43,100,0.01,9,6,0.8,0.9,10,352
44,100,0.01,8,5,0.8,0.9,100,516
45,100,0.01,6,5,0.9,0.9,10,396
46,100,0.01,3,4,0.8,0.9,75,412
47,100,0.01,3,5,0.8,0.9,100,532
48,100,0.01,4,5,0.9,0.9,7,517
49,100,0.01,8,6,0.9,0.9,0,533
50,100,0.01,4,5,0.9,0.9,75,684
51,100,0.01,9,5,0.8,0.9,50,734
52,100,0.01,1,3,0.8,0.9,7,260
53,100,0.01,9,3,0.8,0.8,75,483
54,100,0.01,7,4,0.9,0.9,100,546
55,100,0.01,1,3,0.9,0.9,10,575
56,100,0.01,7,7,0.8,0.9,0,539
57,100,0.01,1,3,0.9,0.9,25,650
58,100,0.01,5,8,0.8,0.8,50,606
59,100,0.01,9,7,0.9,0.9,3,413
60,100,0.01,3,5,0.9,0.9,3,372
61,100,0.01,3,4,0.8,0.8,5,358
62,100,0.01,9,7,0.8,0.8,0,380
63,100,0.01,1,3,0.8,0.9,5,364
64,100,0.01,5,6,0.9,0.8,5,274
65,100,0.01,9,4,0.8,0.9,3,453
66,100,0.01,9,6,0.8,0.9,5,240
67,100,0.01,5,5,0.8,0.9,0,357
68,100,0.01,9,6,0.8,0.9,25,411
69,100,0.01,5,7,0.9,0.9,100,776
70,100,0.01,6,7,0.8,0.9,100,559
71,100,0.01,9,4,0.9,0.9,100,571
72,100,0.01,7,6,0.8,0.9,0,387
73,100,0.01,8,5,0.8,0.9,5,523
74,100,0.01,9,3,0.8,0.9,25,377
75,100,0.01,7,4,0.8,0.9,100,426
76,100,0.01,7,4,0.8,0.9,10,590
77,100,0.01,9,5,0.8,0.9,75,646
78,100,0.01,1,8,0.9,0.9,0,805
79,100,0.01,1,8,0.8,0.9,100,751
80,100,0.01,4,5,0.8,0.9,1,439
81,100,0.01,7,9,0.8,0.9,5,777
82,100,0.01,1,8,0.8,0.9,100,402
83,100,0.01,8,4,0.8,0.8,25,434
84,100,0.01,9,4,0.8,0.9,7,556
85,100,0.01,2,3,0.9,0.9,100,433
86,100,0.01,6,4,0.9,0.9,100,389
87,100,0.01,7,8,0.8,0.8,100,604
88,100,0.01,6,5,0.8,0.9,75,525
89,100,0.01,8,5,0.8,0.9,5,283
90,100,0.01,5,4,0.8,0.9,3,447
91,100,0.01,1,4,0.9,0.9,3,466
92,100,0.01,9,4,0.8,0.8,0,476
93,100,0.01,9,7,0.8,0.9,3,481
94,100,0.01,4,3,0.9,0.9,1,203
95,100,0.01,1,5,0.8,0.9,0,331
96,100,0.01,3,6,0.8,0.9,1,599
97,100,0.01,7,6,0.9,0.9,1,324
98,100,0.01,8,5,0.8,0.9,50,397
99,100,0.01,8,6,0.8,0.9,75,462
