,n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample,best_it,alpha
0,100,0.01,6,6,0.9,0.9,331,1
1,100,0.01,11,7,0.9,0.9,324,0
2,100,0.01,10,3,0.8,0.9,331,50
3,100,0.01,9,4,0.9,0.9,551,100
4,100,0.01,10,7,0.9,0.9,364,0
5,100,0.01,1,7,0.8,0.9,359,5
6,100,0.01,11,3,0.8,0.8,278,10
7,100,0.01,1,5,0.8,0.8,454,75
8,100,0.01,4,5,0.8,0.9,354,75
9,100,0.01,9,3,0.9,0.9,453,50
10,100,0.01,3,3,0.9,0.9,355,100
11,100,0.01,9,4,0.9,0.9,382,100
12,100,0.01,11,8,0.8,0.9,400,5
13,100,0.01,2,3,0.8,0.8,324,75
14,100,0.01,1,5,0.9,0.9,318,100
15,100,0.01,11,7,0.9,0.9,450,5
16,100,0.01,10,4,0.8,0.9,282,0
17,100,0.01,1,7,0.9,0.9,260,1
18,100,0.01,11,5,0.8,0.8,233,0
19,100,0.01,9,3,0.8,0.9,285,1
20,100,0.01,11,5,0.9,0.9,314,5
21,100,0.01,11,3,0.9,0.8,390,1
22,100,0.01,10,3,0.9,0.9,322,50
23,100,0.01,1,4,0.9,0.8,277,0
24,100,0.01,2,3,0.9,0.8,344,1
25,100,0.01,10,5,0.9,0.9,286,1
26,100,0.01,8,4,0.9,0.9,299,75
27,100,0.01,6,4,0.9,0.9,278,1
28,100,0.01,1,4,0.8,0.9,227,0
29,100,0.01,8,6,0.8,0.9,255,50
30,100,0.01,6,5,0.9,0.9,247,1
31,100,0.01,1,3,0.9,0.9,523,75
32,100,0.01,1,3,0.9,0.9,596,0
33,100,0.01,1,3,0.8,0.8,507,75
34,100,0.01,1,3,0.9,0.9,553,3
35,100,0.01,1,3,0.8,0.9,1002,100
36,100,0.01,1,3,0.9,0.8,402,100
37,100,0.01,2,9,0.9,0.9,431,100
38,100,0.01,11,3,0.8,0.8,624,25
39,100,0.01,5,4,0.9,0.9,406,7
40,100,0.01,11,5,0.9,0.9,466,5
41,100,0.01,11,7,0.8,0.9,461,75
42,100,0.01,11,5,0.9,0.9,417,1
43,100,0.01,10,6,0.8,0.9,865,0
44,100,0.01,8,4,0.9,0.9,522,100
45,100,0.01,8,5,0.9,0.9,301,50
46,100,0.01,9,4,0.9,0.9,277,0
47,100,0.01,9,5,0.9,0.9,357,0
48,100,0.01,7,4,0.9,0.9,628,100
49,100,0.01,10,4,0.9,0.9,377,100
50,100,0.01,8,6,0.9,0.9,312,10
51,100,0.01,4,4,0.9,0.9,380,75
52,100,0.01,9,3,0.9,0.9,226,1
53,100,0.01,1,3,0.9,0.8,176,1
54,100,0.01,1,3,0.9,0.9,404,0
55,100,0.01,4,3,0.9,0.9,493,1
56,100,0.01,3,6,0.9,0.9,383,0
57,100,0.01,1,3,0.9,0.9,522,3
58,100,0.01,1,4,0.8,0.8,283,0
59,100,0.01,8,3,0.9,0.9,440,7
60,100,0.01,11,5,0.8,0.9,310,75
61,100,0.01,3,4,0.8,0.8,306,10
62,100,0.01,5,9,0.8,0.9,281,0
63,100,0.01,6,5,0.8,0.9,326,100
64,100,0.01,11,7,0.8,0.9,549,75
65,100,0.01,5,4,0.8,0.9,462,75
66,100,0.01,11,6,0.8,0.9,329,0
67,100,0.01,10,6,0.8,0.9,318,25
68,100,0.01,8,4,0.9,0.9,289,10
69,100,0.01,5,8,0.8,0.8,699,0
70,100,0.01,7,5,0.9,0.9,287,100
71,100,0.01,4,4,0.9,0.9,277,0
72,100,0.01,7,5,0.9,0.9,452,0
73,100,0.01,11,4,0.9,0.9,322,10
74,100,0.01,8,6,0.9,0.9,398,100
75,100,0.01,1,5,0.9,0.9,356,50
76,100,0.01,11,3,0.9,0.9,382,5
77,100,0.01,1,3,0.8,0.9,303,25
78,100,0.01,2,3,0.9,0.8,299,0
79,100,0.01,11,6,0.8,0.8,208,10
80,100,0.01,5,6,0.9,0.9,516,75
81,100,0.01,2,6,0.8,0.8,220,0
82,100,0.01,10,5,0.8,0.8,219,0
83,100,0.01,1,4,0.8,0.8,239,75
84,100,0.01,1,5,0.8,0.9,472,3
85,100,0.01,11,5,0.9,0.9,362,75
86,100,0.01,10,4,0.9,0.9,286,3
87,100,0.01,10,8,0.9,0.9,231,0
88,100,0.01,11,7,0.9,0.9,238,0
89,100,0.01,10,5,0.9,0.9,239,3
90,100,0.01,3,4,0.8,0.9,287,3
91,100,0.01,1,4,0.8,0.9,233,1
92,100,0.01,10,5,0.8,0.9,412,50
93,100,0.01,10,6,0.8,0.9,393,1
94,100,0.01,1,3,0.9,0.9,269,5
95,100,0.01,11,5,0.8,0.9,381,0
96,100,0.01,2,6,0.8,0.9,646,100
97,100,0.01,9,7,0.9,0.9,425,0
98,100,0.01,2,4,0.9,0.9,392,0
99,100,0.01,1,5,0.8,0.8,402,100
