building_number,SMAPE
2,8.379705795745316
3,11.790506011374438
5,6.782165035952274
7,8.598945506631503
10,8.317874825851371
13,6.324467075041305
14,15.438846038638802
17,9.241262191316316
18,11.706338231173554
19,14.935467873371971
20,6.0649339864508205
21,6.941008357327352
24,6.720700335798647
29,8.694505467871759
30,11.592431877328043
40,8.67358066104686
42,10.926922158350564
46,6.373932917154309
51,6.2955986701662425
53,13.306264893833488
54,34.68210653279472
63,6.599602933736765
65,8.818537235645163
71,6.86137309202277
72,9.208250519992243
78,7.450788355105559
80,14.727432431827797
82,12.391976209130496
83,11.671939860478666
84,9.385070518422504
87,8.428515965389112
88,17.007236330280115
89,13.668890154688281
90,11.344625992708501
91,12.597697865575743
92,12.202082442311847
93,6.824521626521611
94,6.255844808706956
95,14.304497283360861
98,12.209320581650829
